Dante Alighieri
Alistair Cooke
Isabel Allende
Kingsley Amis
Martin Amis
Maya Angelou
Annie Proulx
Jeffrey Archer
Philip Ardagh
Simon Armitage
Isaac Asimov
Åsne Seierstad
Diana Athill
Kate Atkinson
Margaret Atwood
 Samuel Beckett
Antony Beevor
Saul Bellow
Benjamin Markovits
George Bernard Shaw
Louis de Bernières
John Betjeman
Maeve Binchy
Carol Birch
Quentin Blake
William Blake
Enid Blyton
Roberto Bolaño 
